Colours,Western - American,Western European,South American,Russia / Eastern Europe,India (Hindu),North Africa,South Africa,Muslim,Asia,Chinese,Japanese,Native Americans,antiquity?,
,,,,,,,,,,,,,,
RED,,,,,,,,,,,,,,
,Hot,,,,heat,,,fire,,,,warmth,,common four-colour Islamic system
,Love,,,,,,,,,,love,,,
,Passion,,,,passion,,,,,,passion,passion,,
,power,,,,,,,,,,,,,
,eroticism,,,,sensuality,,,,,,,heart,,
,radical (political),,,Revolution,,,,,,,,,,
,excitement,,,,energy,,,,,,excitement,,,
,boldness,,,,,,,,,,strength,,,
,The Devil,,,,,,,,,,,,,
,danger,Danger,,,,,,,,,danger,,,
,desire,,,,,,,,,,profound urges,emotions,,
,irritation  / anger,,,,,,,,,,aggression,,,
,spiceness,,,,,,,,,,,,,
,,,,beauty,,,,,,,,,,
,,,,,,,mourning,,,celebration,,,,
,,,,,The Bride,,,,marriage,Wedding,,,,
,,,,,,,,,,fertility,,,,
,,,,,,,,,Happiness,happiness,,,,
,,,success/ triumph,,,,,,prosperity,success / fortune,,success,,
,,,,Luck,,good luck,,,,"Good luck, ",,,,
Orange,,,,,,,,,,,,,,
,,,,,,,,,,learning,,learning,,
,,,,,auspicious,,,,,,,,,
,,,,,desire,,,,,,,,,
,friendly,,,,,,,,,kinship,enthusiasm,,,
,reliable,,,,,,,,,,balance,,,
,warmth,,,,,,,,,,warmth,,,
,,,,,energising,,,,,,energy,,,
,,,,,,,,,,,flamboyance,,,
,,,,,holy,,,,,,,,,
,,,,,,,,,,,,healing,,
,,,,,fertility,,,,,,,,,
yellow,,,,,,,,,,,,,,
,,,,,divinity,,,,sacred ,,,illumination,,
,fun,,,,laughter,,,,,,,,,
,energetic,,,,energising,,,,,,,,,
,jubilant,,,,joy,,,,,,joy,,,
,peace,,,,attracts love,,,,,,,love,,
,,,,,,,,,,,deceit,,,
,overpowering,,,,Will & power,,,Strength,,Royalty,Courage,overcoming challenges,,
,Cowardly,,,,,,,,,,cowardice,,,
,Quarantine,,,,repels evil,,,,against evil,,hazard,Trouble,,
,jaundice,,,,,,,,,,illness,,,
,,,,,sensuality,,,,,,,,,
,,,,,,,,,imperial,,,,,
,,,,,,,,,,Nourishing,,,,
,,,,,,,,,,respect,,,,
,,,,,,,,,,,idealism,Inspiration,,
,,,,,,,,,,,,,,
,,,Mourning,,,,,Mourning,,,,,,
Green,,,,,,,,,,,,,,
,earthy,,,,Fertility,,,,,,,,,
,grow,,,,,,,,,growth,,,,
,natural,,,,vitality,,,,harmony,,nature,,,
,environmental,,,,life,,,,,life,the environment,,,
,,,,,Islam,Islam,,Islam,,,,,,
,,,,,love,,,,,,,,,
,trust,,,,compassion,,,,,,,,,
,jealousy,,,,,,,,,infidelity,jealousy / envy,,,
,calm,,,,soothes,,,,peace,,,,,
,,,,,universal oneness,,,Heaven,eternity,,eternal life,,,
,Luck,,,,,,,Luck,posterity,,misfortune [CHECK],,,
,money,,Death,,,,,,,exorcism,good luck,,,
,,,,,Happiness,,,,,Sunrise,,,,
,,,,,,,,,,,youth,,,
,,,,,tradition,,,,family,,,,,
,,,,,,,,paradise,,,vigour,living willfully,,
,,,,,,,,God,,,,,,wapedia
,,,,,,,,,,,,,,
Blue,Liberal,,,,,,,,,,,North,,
,cold,,,,,,,,,,cold,cold,,
,smart,,,,,,,,,,,intuition,,
,progress,,,,,,,,,,,,,
,music,,,,,,,,,,,,,
,trust,,,,,,,,,,,,,
,freedom,,,,,,,,,,,,,
,royal,,,,,,,,wealth,,wealth,,,
,medicine,,,,,,,,,,,,,
,,,,,creativity,,,,,,,,,
,,,,,communication,,,,,,,,,
,Loyalty,,,,,,,,,,loyalty,,,
,depression,,,,,,,,,,depression,defeat,,
,peaceful,,,,calm ,,,,,,peace,,,
,objective / rational,,,,,,,,,,technology,,,
,corporate,,,,,,,,,,,,,
,passivity,,,,,,,,,,,,,
,serious,,,,,,,,,,,,,
,quiet,,,,,,,,,,,,,
,,,,,gods,,,Heaven,,,,,,
,,,,,sacred,,,spirituality,,,,,,
,,,,,,,,immortality,,,,,,
,,,,,,,,mourning,,,,,,
,,,,,,,,merciful,,,"femininity
",,,
,,,,,,,,,,,life,,,
,,,,,,,,,,,purity,,,
,,,,,,,,,,,"stability
",,,
,,,,,,,,,,,,,,
,,,defeat/ trouble,,,,,,,,,trouble,,
,,,,,,,,,self-cultivation,,,,,
Purple,,,,,,,,,,,,,,
,royal,,,,,,,,,,royalty,,,
,decadent,,,,,,,,,,cruelty,,,
,vanity,,,,,,,,,,arrogance,,,
,romantic,,,,,,,,,,,,,
,elegant,,,,,,,,,,mysterious,,,
,sensual,,,,,,,,,,,,,
,eclectic,,,,,,,,,,,,,
,Artificial,,,,,,,,,,,,,
,sophistication,,,,understanding,,,,,,wisdom,wisdom,,
,sexiness,,,,,,,,,,,,,
,power,,,,,,,,,,,,,
,virtue,,,,,,,,,,,,,
,modesty,,,,,,,,,,nobility,gratitude,,
,mystery,,,,,,,,,,,,,
,extravagant,,,,,,,,expensive,,,,,
,ambivalence,,,,,,,,,,,,,
,,,Mourning,,,,,,mourning,,mourning,,,
,,,,,Intuition,,,,,,enlightenment,,,
,,,,,Air,,,,,,spirituality,,,
,,,,,,,,,,,,healing,,
,,,,,,,,,,,ceremony,,,
Indigo,,,,,,,,,,,,,,
,,,,,seeing,,,,,,,,,
,,,,,knowing,,,,,,,,,
Brown,,,,,,,,,,,,,,
,rustic,,,,,,,,,,,,,
,earthy,,,,,,,,,,earth,,,
,warm,,,,,,,,,,comfort,,,
,romantic,,,,,,,,,,home,Good,,
,solid,,,,,,,,,,,,,
,reliable,,,,,,,,,,endurance,,,
,spoiled,,,,,,,,,,,,,
,security,,,,,,,,,,,,,
,laziness,,,,,,,,,,,,,
,uncultivated,,,,,,,,,,,,,
,,,,,,,,,,,simplicity,,,
,,,,,,,,,,,the outdoors,,,
,,,,,,,,,,,,knowing,,
,,,,,,,,,,,,self-discipline,,
,,,,,,,,,,,,,,
Black,,,,,,,,,,,,problems ,,
,Authority,,,,,,,,,,nobility,,,
,Power,,,,,,,,,,class,West,,
,style,,,,,,,,,,style,,,
,eternity,,,,,,,,,,,,,
,,,,,,,,,,,solemnity,,,
,submission,,,,penance,,,clergy,penance,,,,,
,evil,,,,evil,,,,evil influences,,evil,,,
,aloof,,,,,,,,,,,,,
,overpowering,,,,,,,,,,,,,
,,,,,inertia,,,,,,,,,
,,,,,negativity,,,,,,unhappiness,,,
,,,,,darkness,,,,,,,,,
,,,,,anger,,,,,,,,,
,death,,,,,,,,,,,death,,
,mourning,mourning,,,,,,mourning,mourning,,mourning,,,
,,,,,,,,,self-cultivation,,depth,self-examination,,
,,,,,,,,,knowledge,,experience,,,
,,,,,,,,,,Trust,,,,
,,,,,,,,,,Reliability,,,,
,,,,,,,,,,,,,,
,,,,,,,,,career,,bad luck,,,
,,,,,,,,devotion (Shi'ite women),,,wealth,,,
,,,,,,,,,,,mystery,,,
,,,,,,,,,,,fear,,,
,,,,,,,,,,,,reflection,,
,,,,,,,,,,,,harmony,,
,,,,,,,,,,,,,,
,,,,,,,,,,young boys,age,,,
White,,,,,,,,,,,,,,
,Truce,,,Truce,Truce,,Truce,Truce,,Truce,Truce,,,
,Summer,,,,,,,,,,,warmth,,
,purity,,,,,,,,,,,,,
,neutral,,,,,,,,,,,,,
,,,,,,,,putiry,purity,,purity,,,
,sterility,,,,,,,,,,"cleanliness
",,,
,Bride,,,,,,,,marriage,,,,,
,emptiness,,,,,,,,,,,,,
,vagueness,,,,,,,,,,,,,
,luxury,,,,,,,,,,,,,
,tranquility,,,,tranquility,,,,,,reverence,,,
,clarity,,,,,,,,,,,,,
,perishability,,,,,,,,,,,,,
,,,,,peace,,,peace,peace,,sacred,peace,,
,,,,,brightness,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,children,,youth,,,
,,,,,,,,,travel,,,,,
,,,,,death and rebirth,,,Death,,death,death,,,
,,,,,,,,,mourning,Mourning,Mourning (black and white worn at funerals),,,
,,,,,,,,,,,,happiness,,
,,,,,,,,,,,,magnetism,,
,,,,,,,,,,,humilty,sharing,,
,,,,,,,,prayer,,,,,,
Pink,,,,,,,,,,,,creativity,,
,Tranquillising,,,,,,,,,,,,,
,Cute,,,,,,,,,,child-like personality,,,
,feminine,,,,,,,,,,femininity,,,
,girl,,,,,,,,,,girlish,,,
,,,,,,,,,marriage,,,,,
,,,,,,,,,,,good health,,,
,,,,,,,,,,,life,,,
,,,,,,,,,,,sexuality,,,
,,,,,,,,,,,purity,,,
,,,,,,,,,,,flirtatious,,,
,,,,,,,,,,,,working,,
,,,,,,,,,,,,seeing,,
,,,,,,,,,,,,motivation,,
Grey,,,,,,,,,,,,,,
,humility,,,,,,,,helpful people,,modesty,honouring,,
,Elegance,,,,,,,,,,,,,
,respect,,,,,,,,,,,,,
,boredom,,,,,,,,,,,,,
,decay,,,,,,,,,,,,,
,pollution,,,,,,,,,,,,,
,,,,,,,,,travel,,,,,
,,,,,,,,,,,conservative,,,
,,,,,,,,,,,old age,,,
,,,,,,,,,,,reliability,,,
,,,,,,,,,,,intelligence,,,
,,,,,,,,,,,staid,,,
,,,,,,,,,,,,friendship,,
Gold,,,,,,,,,,,,,,
,Money,,,,,,,,,,royalty,,,
,wealth,,,,,,,,wealth,wealth,,,,
,,,,,,,,,strength ,happiness,,,,
,,,,,,,,,,,religion,,,
,,,,,,,,,,,the heavens,,,